                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.92802,                0.66707,                 1.1133,                0.90844,                0.88748,                0.92485,                 0.6956,                0.99904,                 0.6527,                  1.174,             0.00069313,             0.00069313,             0.00069313
                     47,                0.93651,                0.70418,                 1.1185,                0.90664,                0.90988,                0.93221,                 0.6998,                0.99523,                0.61662,                 1.1639,             0.00068075,             0.00068075,             0.00068075
                     48,                 0.9436,                0.68214,                 1.1199,                0.93428,                 0.8856,                0.93673,                0.69968,                0.99388,                0.64388,                 1.1683,             0.00066838,             0.00066838,             0.00066838
                     49,                0.92669,                0.68701,                 1.1183,                0.86566,                0.87071,                0.93791,                  0.721,                0.92883,                0.66918,                 1.1297,               0.000656,               0.000656,               0.000656
                     50,                0.93711,                0.70183,                 1.1258,                0.87936,                0.89119,                0.94793,                 0.7071,                0.93273,                0.63452,                 1.1377,             0.00064362,             0.00064362,             0.00064362
                     51,                0.92049,                0.66415,                 1.1079,                0.90706,                0.87801,                0.94344,                0.70818,                0.98515,                0.63134,                 1.1618,             0.00063125,             0.00063125,             0.00063125
                     52,                0.90253,                0.65058,                 1.0934,                0.91536,                0.89178,                0.94011,                0.69413,                0.97476,                0.60038,                 1.1388,             0.00061887,             0.00061887,             0.00061887
                     53,                0.91082,                 0.6931,                 1.1068,                0.89908,                0.89116,                0.92276,                0.69379,                0.96947,                0.61287,                 1.1392,              0.0006065,              0.0006065,              0.0006065
                     54,                0.91216,                0.66546,                 1.1149,                 0.8853,                0.87898,                0.92511,                0.68223,                 1.0122,                0.62979,                 1.1828,             0.00059413,             0.00059413,             0.00059413
                     55,                0.88374,                 0.6274,                 1.1038,                0.85327,                0.89191,                 0.9226,                0.70295,                0.95696,                 0.6601,                  1.135,             0.00058175,             0.00058175,             0.00058175
                     56,                0.88426,                0.62918,                 1.0917,                0.92704,                0.88601,                0.94396,                0.71832,                0.98327,                0.57399,                 1.1658,             0.00056938,             0.00056938,             0.00056938
                     57,                0.88884,                0.64748,                 1.1018,                0.88548,                0.89032,                0.93889,                0.71455,                0.95385,                0.62206,                 1.1359,               0.000557,               0.000557,               0.000557
                     58,                0.88048,                0.66158,                 1.0952,                0.83894,                 0.9083,                0.94002,                0.70109,                 1.0489,                0.68018,                 1.2033,             0.00054463,             0.00054463,             0.00054463
                     59,                0.88457,                0.62564,                 1.0965,                0.89459,                0.90612,                0.93165,                0.69834,                0.98704,                0.59694,                 1.1793,             0.00053225,             0.00053225,             0.00053225
                     60,                0.89119,                0.62723,                 1.1081,                0.92766,                 0.8779,                0.94791,                0.70629,                0.98774,                0.58318,                  1.172,             0.00051988,             0.00051988,             0.00051988
                     61,                0.86744,                0.61316,                 1.0881,                0.92469,                 0.8786,                0.94683,                 0.7203,                 0.9537,                0.58495,                 1.1387,              0.0005075,              0.0005075,              0.0005075
                     62,                0.86917,                0.61669,                 1.0858,                0.87373,                0.88028,                0.90922,                0.68399,                0.97503,                 0.6531,                 1.1602,             0.00049513,             0.00049513,             0.00049513
                     63,                0.86317,                0.61664,                 1.0931,                0.92046,                0.87351,                0.94935,                0.72489,                0.97736,                0.63013,                 1.1625,             0.00048275,             0.00048275,             0.00048275
                     64,                0.88212,                0.61809,                 1.0949,                0.91053,                0.86768,                0.94536,                0.70987,                0.98186,                0.59697,                 1.1689,             0.00047038,             0.00047038,             0.00047038
                     65,                0.85237,                0.59736,                 1.0739,                0.90274,                0.86725,                0.93789,                0.70649,                0.94844,                0.62388,                 1.1606,               0.000458,               0.000458,               0.000458
                     66,                0.84944,                0.60308,                  1.081,                 0.8681,                0.88594,                0.93102,                0.69107,                0.96764,                 0.6107,                 1.1661,             0.00044563,             0.00044563,             0.00044563
                     67,                0.84737,                0.59353,                 1.0855,                0.87953,                0.87881,                0.93238,                0.70529,                0.95974,                0.62438,                 1.1517,             0.00043325,             0.00043325,             0.00043325
                     68,                0.82542,                0.58484,                 1.0742,                0.90382,                0.88309,                0.94935,                0.71731,                0.95461,                0.60466,                 1.1476,             0.00042087,             0.00042087,             0.00042087
                     69,                0.83048,                0.57998,                 1.0649,                0.90384,                0.88125,                0.94699,                0.70945,                0.97141,                0.59745,                 1.1615,              0.0004085,              0.0004085,              0.0004085
                     70,                0.82372,                0.58049,                 1.0785,                0.91121,                0.87721,                0.94069,                0.69596,                0.97982,                0.59836,                 1.1801,             0.00039613,             0.00039613,             0.00039613
                     71,                0.82919,                0.58454,                 1.0718,                0.89659,                0.87093,                0.91597,                0.68175,                0.99317,                0.64765,                 1.1754,             0.00038375,             0.00038375,             0.00038375
                     72,                0.81382,                0.57732,                 1.0693,                0.89189,                0.86604,                0.93596,                0.70172,                0.98159,                0.64502,                 1.1608,             0.00037138,             0.00037138,             0.00037138
                     73,                0.85093,                0.57258,                 1.0833,                0.90593,                0.88521,                0.92164,                0.70115,                0.96555,                0.62151,                 1.1529,               0.000359,               0.000359,               0.000359
                     74,                 0.8075,                0.55126,                 1.0676,                0.90255,                0.87017,                0.93574,                0.70507,                0.97736,                0.63228,                 1.1633,             0.00034663,             0.00034663,             0.00034663
                     75,                0.79787,                0.55936,                 1.0595,                 0.8905,                0.85882,                0.93356,                0.70374,                0.97581,                0.63551,                 1.1624,             0.00033425,             0.00033425,             0.00033425
                     76,                0.81793,                0.57119,                 1.0702,                0.86524,                 0.8927,                0.92017,                0.69051,                 0.9825,                0.63938,                 1.1671,             0.00032188,             0.00032188,             0.00032188
                     77,                0.81167,                0.54015,                  1.068,                0.89361,                0.88231,                0.92915,                0.70467,                0.95763,                0.62469,                 1.1503,              0.0003095,              0.0003095,              0.0003095
                     78,                 0.8056,                0.55709,                 1.0694,                0.89282,                0.89116,                0.92618,                0.69591,                0.96832,                 0.6191,                   1.15,             0.00029713,             0.00029713,             0.00029713
